Sr#,Via reference number,Airline PNR number
1,FMNXXXXXXXXXX,HHH4MM
2,FMNXXXXXXXXXY,HHH5MM
3,FMNXXXXXXXXXZ,HHH3MM
4,FMNXXXXXXXXYY,HHH1MM
5,FMNXXXXXXXXZZ,HHH0MM
6,FMNXXXXXXXAAA,HHH7MM
7,FMNXXXXXXXXAB,HHH8MM
8,FMNXXXXXXXXCC,HHH0MM
9,FMNXXXXXXXCCC,HHH4MN
10,FMNXXXXXXXASD,HHH1MM
11,FMNXXXXXXQQQQ,HHH4AB
12,FMNXXXXXXXXQE,HHH4BG
13,FMNXXEXXXXXXX,HHH4ME
14,FMNXXXXXXUSDC,HHH4MS
15,FMNIIXXXXXXXX,HHH4OO
16,FMNXXXXXXXXTT,HHH4MT
17,FMNXXXXXXXXFI,HHH4FI
18,FMNXXXXXXWERE,HHH4EE
19,FMNXXXXXXXXPO,HHH4PO
20,FMNXXXXXPPXXX,HHH4UU
21,FMNXXXXVFXXXX,HHH4VV
22,FMNXXXXSVTXXX,HHH4SS
23,FMNXXXXXXQCRT,HHH4JJ
24,FMNXXXTTTXXXX,HHH4MT
25,FMNXXXXXOIUYT,HHH4MO
26,FMNXXXXXXXXSY,HHH4SY
27,FMNXXXXXGHTUD,HHH4GT
28,FMNXXXXXXXLLL,HHH4LL
29,FMNXXXXXXRXXX,HHH4MR
30,FMNXXXX KJUOP,HHH4KL
